Portafolio,Activo,Retorno Anualizado (%),Volatilidad Anualizada (%)
Bonos,^IRX,74.21665916254713,457.5842489525144
Bonos,^FVX,32.496585887477465,67.0537031419925
Bonos,^TNX,23.41656498349772,54.97683170953892
Bonos,^TYX,13.97829767143346,38.119758089422916
ETFs,SPY,15.182515527141103,19.400785571935497
ETFs,QQQ,20.445064081519636,24.040266318080143
ETFs,VTI,14.71942832699124,19.835760039551488
ETFs,IVV,15.283453041063558,19.66499535354403
ETFs,XLV,11.779332581558577,17.54463411253656
Acciones,MSFT,28.845346479653788,28.80895126334757
Acciones,GOOGL,21.986380144916872,30.485349715997717
Acciones,O,10.193683487409158,28.133951558174164
Acciones,PG,13.85308228997679,20.05269046816801
Acciones,ISRG,25.662492779327177,34.36922760886436
Acciones,MDT,7.2076921763188375,24.6102472355716
Acciones,JPM,19.087713365521186,29.270463037635785
Futuros,GC=F,12.217620876901279,14.770545636438017
Futuros,CL=F,-39.73828597171589,134.73101246804367
Futuros,SI=F,14.53223191647991,30.15529487139345
Futuros,NQ=F,29.0270040197324,60.198087548141835
Futuros,ES=F,14.966836638142118,35.82469241191295
Criptomonedas,BTC-USD,39.968150310916414,58.15028648645989
Criptomonedas,ETH-USD,47.83224337907725,72.85734913654201
Criptomonedas,BNB-USD,91.32406276892924,85.4078236319097
Criptomonedas,TRX-USD,91.8110196524381,107.64200450531129
Criptomonedas,DOGE-USD,120.58485730228672,155.57180868472543
